site,source,camera_site,lat,lon,matched_camera
pyronear-engie_salaunes-1,pyronear-engie,salaunes-1,44.9163970947,-0.8768630028,salaunes-1-camera-01
pyronear-engie_salaunes-2,pyronear-engie,salaunes-2,44.9080162048,-0.8618850112,salaunes-2-camera-01
pyronear-force-06_cabanelle,pyronear-force-06,cabanelle,43.7866472009,7.4196082789,cabanelle-01
pyronear-force-06_courmettes,pyronear-force-06,courmettes,43.715592078,7.026486331,courmettes-01
pyronear-force-06_ferion,pyronear-force-06,ferion,43.8678214317,7.2724177001,ferion-01
pyronear-force-06_valbonne,pyronear-force-06,valbonne,43.6233636008,7.02793957,valbonne-01
pyronear-sdis-07_brison,pyronear-sdis-07,brison,44.5451545715,4.2165341377,brison-01
pyronear-sdis-07_courmettes,pyronear-sdis-07,courmettes,43.715592078,7.026486331,courmettes-01
pyronear-sdis-07_marguerite,pyronear-sdis-07,marguerite,44.6884918213,4.3135008812,marguerite-01
pyronear-sdis-07_serre-de-barre,pyronear-sdis-07,serre-de-barre,44.3968658447,4.0837349892,serre-de-barre-01
pyronear-sdis-12_pouncho-agast,pyronear-sdis-12,pouncho-agast,44.1099029918,3.1014158442,pouncho-agast-01
pyronear-sdis-77_croix-augas,pyronear-sdis-77,croix-augas,48.4267461256,2.7108759097,croix-augas-01
pyronear-sdis-77_croix-augas-01,pyronear-sdis-77,croix-augas-01,48.4267461256,2.7108759097,croix-augas-01
pyronear-sdis-77_croix-augas-02,pyronear-sdis-77,croix-augas-02,48.4267461256,2.7108759097,croix-augas-02
pyronear-sdis-77_nemours-01,pyronear-sdis-77,nemours-01,48.2604833333,2.7063833333,nemours-01
pyronear-sdis-77_videlles-02,pyronear-sdis-77,videlles-02,48.478333333,2.42416667,videlles-02
pyronear-sis-67_haguenau-01,pyronear-sis-67,haguenau-01,48.8221944,7.7798889,haguenau-01
pyronear-sis-67_haguenau-02,pyronear-sis-67,haguenau-02,48.8221944,7.7798889,haguenau-02
